gene	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
ENSG00000187837	-0.0126829725	-0.019440714	-0.21842673	-0.04106442	0.019323852	-0.041079737	0.07844423	0.1035384	0.060743492	0.04030641	-0.10166548	-0.14202543	-0.027872236	0.019786905	-0.03586087	-0.11733586	0.044076793	0.03423268	-0.1094977	-0.040917367	-0.05594357	-0.06521078	-0.10659976	-0.018484976	0.08304501	0.039875515	-0.04054524	0.057324503	0.04141453	-0.019354869	-0.039280698	0.11923899	0.025165763	-0.025373	0.2018841	0.045532804	-0.034458432	0.027914584	0.0024830252	0.009314053	-0.054164294	-0.08393671	0.2205972	-0.071568914	0.03016852	-0.02947006	0.021023173	0.027178751	0.039906226	-0.060103327	0.046875723	-0.011342609	0.019187264	-0.023066936	-0.014324851	0.11946735	-0.064408705	0.050363626	-0.039819844	-0.10171861	-0.0027214661	0.08813365	0.053687245	-0.12732826
ENSG00000059573	0.025853127	0.028998835	0.0006138878	-0.021909956	0.006198602	0.03674487	0.020421498	-0.015846103	-0.046151306	0.03824583	-0.047897607	0.04875181	0.033626135	0.016178872	0.0035986556	-0.044549942	-0.00071367435	0.015171082	-0.0058099423	-0.03536116	-0.03496612	-0.020256985	-0.022019671	0.020191781	0.09418132	0.023132773	-0.027083833	-0.029354826	0.0430921	-0.08113733	-0.0040757135	0.025559813	0.010765907	0.030408412	0.028014652	0.05518627	-0.05279512	0.005806129	-0.04358225	0.022926336	0.034834046	-0.030488607	0.0815498	0.010949418	0.04122842	-0.002338837	0.025204845	-0.03956694	0.04243379	-0.10330193	0.0536632	-0.009996552	-0.084215105	-0.01060365	0.05653738	0.046866655	0.029275164	0.0023205793	-0.008107541	0.035741244	0.025178514	0.017224286	0.09999384	0.040985644
ENSG00000166159	-0.14614445	0.094117604	0.05538211	-0.16664833	0.014326487	-0.03938093	0.022991115	0.0672065	0.044501968	-0.12941366	0.007935513	-0.10247483	-0.116979	0.1418052	-0.035923265	-0.12295203	0.12803209	-0.12924506	0.13809219	-0.052700415	-0.1989109	0.064044915	-0.17111884	-0.14374854	-0.0052107275	-0.0030871504	0.31696025	0.1559434	-0.079484016	0.08798449	0.05422204	-0.32681414	0.09811659	0.11734984	0.108803764	-0.033015266	0.09380655	0.19988382	0.097201325	0.13683616	0.21406794	-0.12951651	-0.090139106	-0.14207564	0.09472744	0.08200054	-0.0051071662	0.16136156	-0.07717829	-0.047985155	-0.028468663	0.052754045	-0.28158846	0.31829482	0.07093551	-0.2618435	-0.13961503	-0.18799512	0.13016689	-0.15177256	-0.14452538	0.3058403	-0.31980127	-0.174865
ENSG00000164035	-0.6659651	0.11874617	-0.14067385	-0.49016547	0.34339005	0.11047264	-0.15112208	0.6020153	0.4037163	0.11508416	0.20097296	-0.04072759	0.6965378	0.059615172	0.62598264	-0.23729864	0.06300355	0.21783645	-0.4270352	-0.14228427	-0.05069346	-0.4613672	-0.8148381	-0.07151458	0.6385744	-0.81305915	-0.332821	0.1173351	0.73924637	-0.14301486	0.428242	-0.40143412	-0.16849688	-0.49433342	-0.30011368	0.4567453	-0.016337227	0.2086237	0.16809444	-0.31794208	0.12474501	0.29683346	-0.4790779	-0.49153516	-0.65326446	0.2832169	-0.10170143	0.36918524	-0.27107915	0.45208687	0.35956404	0.018547013	-0.04292882	-0.12820323	0.21088256	-0.44036388	-0.5418638	0.3168787	0.042277187	0.3254015	-0.057519045	0.6188442	-0.23866741	0.28468156
ENSG00000110218	-0.16009282	0.3683541	-0.105088234	-0.08967327	0.14552204	-0.10885807	0.19857118	-0.045358166	0.058191236	0.18273735	0.31593475	0.11901361	-0.15117656	0.06664976	0.34587908	-0.12784633	0.22069216	0.36738065	-0.19733867	0.07652276	-0.28614414	-0.17700493	-0.3671113	-0.02292006	-0.011568299	0.15440795	0.008691167	-0.23281586	0.27172017	0.17471053	0.21339472	0.026450068	-0.04622417	0.0047161123	0.087104365	-0.019511405	0.1899978	-0.013662709	-0.02400517	-0.09006031	0.32345134	-0.03173911	-0.121826194	0.08534062	0.085117124	-0.2821255	0.09256289	-0.20758039	0.3330783	0.018928312	0.39070487	-0.2398383	-0.34963512	-0.0067882896	0.2932462	0.2022779	0.05606804	0.07024669	0.0081723705	-0.11687153	-0.090424955	0.26748613	0.11657502	-0.02051983
ENSG00000173517	0.15466222	-0.081090234	0.15669478	0.07530186	0.08279243	0.12515485	0.083794914	-0.1876897	0.11847389	0.10926603	-0.08095835	0.029362025	-0.067247115	-0.013875218	0.12465814	-0.18116082	0.08331173	-0.06284351	-0.067087784	0.0021474008	-0.112826064	-0.27561617	-0.10384303	0.06930828	-0.027968245	-0.02679289	-0.06823201	-0.032049604	0.04142593	-0.06491312	0.091288365	-0.045639593	0.042570837	0.078402355	-0.071751446	0.06624545	-0.17959437	-0.010409702	0.11685808	0.052200947	-0.04249114	-0.17825207	0.105811976	0.14601627	0.21888049	0.05102025	0.08100232	0.20346297	-0.13418058	-0.23128338	0.11980481	0.011006478	0.08662552	-0.16410758	0.19675875	0.09212574	0.19428465	0.195971	-0.027951296	0.09951232	-0.15186054	-0.021500427	-0.15568793	-0.03644594
ENSG00000109929	0.13200778	-0.37355596	0.026530717	-0.98203146	0.11803284	0.27798304	-0.065549366	-0.09217445	0.0047348035	0.35893723	0.47882557	-0.14160126	0.05618792	0.1938948	0.24340327	-0.08062297	-0.19621792	-0.08887612	-0.2656604	-0.17104086	0.12828463	-0.034030527	-0.430667	0.03676771	-0.07264572	0.22201583	0.060335852	0.06200065	0.15875603	-0.15059617	0.011515571	-0.40521878	-0.1104996	-0.18943755	-0.6179791	0.64440095	0.2572452	0.06356874	0.003258407	-0.46294457	0.20866211	-0.13179046	-0.09827988	0.2491262	-0.18322188	0.10661768	-0.22521786	0.15669543	-0.022025548	-0.13864467	0.046630137	0.06262657	0.16127951	-0.19990936	0.2722278	-0.21897045	0.3256036	0.022909794	-0.26137862	-0.36150366	0.08562056	0.2136552	-0.48774147	0.03861534
ENSG00000163064	0.44701222	0.036492825	0.19674835	-0.081280805	0.19708642	0.44227943	0.013175571	-0.17936794	0.17025319	-0.4994054	0.0688054	-0.58747214	-0.0766073	-0.1366233	0.7353454	0.22877084	0.15193814	-0.56013	-0.15403563	-0.44128004	-0.31858405	0.3378816	0.40385556	0.13171713	-0.1182407	0.271682	0.17785607	0.048429355	0.30092978	0.04448836	-0.8935283	-0.14946231	-0.060908973	-0.10140647	-0.08859022	0.07125577	-0.20864548	0.24129024	-0.14142242	0.29642487	-0.32525015	0.43577957	0.3239405	-0.39580604	0.03518232	-0.23088291	0.53217363	0.18394455	0.099486984	0.4928267	-0.30360004	0.23976788	0.12576216	-0.05296153	0.27843058	-0.27951172	-0.53465694	-0.010205905	-0.0004322664	-0.22762546	-0.1783737	0.5302745	-0.4428826	-0.52565587
ENSG00000120669	0.05571056	0.057831265	-0.07235666	-0.33607483	0.08605082	-0.37802497	0.17659634	0.08654612	0.11955319	-0.15092465	-0.19705501	-0.09452312	-0.12936662	0.20083107	0.06354886	-0.25174016	0.35244164	0.2681119	-0.2543122	-0.059499912	0.058498636	-0.2763538	-0.25805992	0.30599532	0.009242849	-0.032766584	-0.20210037	0.3254755	-0.047799118	-0.3163849	-0.08635236	0.07655515	0.089511	-0.030976795	0.10732348	0.15786654	-0.10686709	0.0689946	-0.32552195	0.3340652	-0.3726617	0.00050284714	0.354826	-0.36997697	0.52814627	0.26448408	0.03428409	0.4745409	0.20123467	-0.23487194	0.236795	-0.32363746	0.43605378	0.10800277	-0.110104054	-0.043893278	0.15993449	0.045960363	-0.024658361	-0.2434892	0.1592226	0.3176379	0.064304814	0.15962766
ENSG00000144736	-0.009475751	0.07088952	-0.3313085	0.0020921063	-0.2475704	-0.17118701	0.088275604	-0.20564745	-0.35057127	0.24257681	-0.036760777	-0.059788104	-0.04598298	0.004058888	0.18064046	-0.08804278	-0.022444509	-0.18855298	0.104325026	-0.14993542	-0.032389693	0.041657265	-0.15688366	-0.44567752	0.1463191	0.21620472	0.08480085	-0.061614312	0.10107131	0.15214309	0.2009081	0.1875637	0.29107404	-0.11515081	-0.09271042	-0.083643675	-0.059469357	-0.117599584	0.012738466	0.056867886	0.12827413	-0.22912842	0.07024432	0.25089616	-0.016578736	0.16387708	0.17767039	0.13036732	0.2247512	-0.119981006	0.086595125	-0.09567352	-0.1665403	0.0006596572	-0.16314645	-0.030878976	0.017925981	-0.0026402632	0.11982086	-0.029021315	0.17749429	0.090758935	-0.21154019	0.016125396
