head	relation	tail	head_type	tail_type
ENSG00000275555	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000275555	annotated_with	GO:0008285	Gene	GO
ENSG00000147654	involved_in	R-HSA-8939211	Gene	Pathway
ENSG00000147654	involved_in	R-HSA-9006931	Gene	Pathway
ENSG00000147654	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000137575	annotated_with	GO:0008284	Gene	GO
ENSG00000215301	annotated_with	GO:0010628	Gene	GO
ENSG00000172215	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000137077	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000137077	annotated_with	GO:0051897	Gene	GO
ENSG00000144648	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000142871	annotated_with	GO:0007165	Gene	GO
ENSG00000142871	annotated_with	GO:0001934	Gene	GO
ENSG00000102962	annotated_with	GO:0007165	Gene	GO
ENSG00000102962	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000186432	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000162068	annotated_with	GO:0009887	Gene	GO
ENSG00000147862	annotated_with	GO:0045893	Gene	GO
ENSG00000112242	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000112242	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000169884	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000133056	annotated_with	GO:0014065	Gene	GO
ENSG00000154764	annotated_with	GO:0045893	Gene	GO
ENSG00000154764	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000175063	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000175063	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000175063	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000175063	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000099194	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000099194	involved_in	R-HSA-9006931	Gene	Pathway
ENSG00000160999	involved_in	R-HSA-9006934	Gene	Pathway
ENSG00000160999	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000067113	annotated_with	GO:0007165	Gene	GO
ENSG00000067113	annotated_with	GO:0008285	Gene	GO
ENSG00000162407	annotated_with	GO:0007165	Gene	GO
ENSG00000117713	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000117713	involved_in	R-HSA-8939243	Gene	Pathway
ENSG00000117713	annotated_with	GO:0045893	Gene	GO
ENSG00000117713	involved_in	R-HSA-212436	Gene	Pathway
